Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,54.17879,7.85897,0.52888,0.00771
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
6,10,4,3,11
4,4,9,3,8
10,1,5,5,6
6,1,7,8,10
11,1,1,11,7
6,8,1,9,6
5,7,1,8,7
9,9,10,1,5
9,8,3,1,11
5,1,2,1,4
6,1,4,1,6
10,1,11,1,2
2,1,1,7,9
3,1,1,11,9
6,7,1,7,1
6,8,6,7,1
11,2,5,10,1
10,7,3,5,2
1,5,1,1,8
1,1,1,1,2
1,1,1,1,2
6,1,8,2,7
11,11,1,6,7
10,7,1,7,6
1,7,1,6,9
1,5,1,9,6
1,9,1,7,7
1,3,2,9,10
1,7,4,1,9
5,9,4,1,4
2,10,1,1,9
8,7,1,11,8
8,9,1,3,8
3,9,3,3,11
10,7,6,1,2
4,7,10,1,10
1,2,8,1,2
1,2,6,7,2
1,6,9,8,1
2,3,9,8,1
10,1,6,6,1
8,1,6,6,8
1,1,3,10,10
1,7,1,2,2
1,3,1,5,11
9,1,1,4,5
2,1,1,4,9
2,1,1,3,10
1,2,2,1,7
1,2,5,1,6
1,5,1,1,5
9,5,1,1,1
2,8,1,1,1
5,2,7,3,1
4,5,1,3,4
9,7,1,5,9
8,8,1,11,6
3,8,6,6,11
2,4,7,10,10
1,2,4,1,10
1,9,10,1,8
1,2,2,1,9
2,10,9,4,7
2,8,7,3,7
8,7,4,1,1
5,9,5,1,1
5,4,7,1,1
1,5,4,4,3
1,1,8,7,10
1,1,8,7,7
1,1,7,6,2
1,2,2,5,6
3,3,3,10,10
2,1,9,10,10
2,1,11,2,6
6,1,7,2,3
3,3,2,7,11
10,4,3,7,8
9,10,1,9,1
8,9,1,9,1
9,1,1,7,1
6,1,6,3,7
11,1,5,2,3
10,3,5,4,11
7,2,3,1,7
5,4,6,1,5
9,8,8,1,2
8,8,8,3,8
4,3,6,3,9
8,2,1,4,9
8,2,1,4,4
4,4,1,1,2
7,5,9,1,5
10,7,4,1,10
2,6,2,9,4
2,3,6,4,7
7,10,4,10,5
9,8,7,10,5
6,5,9,7,9
2,5,6,8,6
7,10,6,8,10
10,4,3,11,8
4,3,7,10,4
8,7,1,2,4
8,2,1,4,6
10,3,1,1,9
10,10,11,1,9
6,1,5,1,7
8,1,4,6,10
10,1,4,5,4
9,2,1,8,11
5,7,1,2,1
5,6,1,2,1
9,2,8,9,1
4,9,7,5,1
1,5,6,6,1
1,8,6,6,9
1,9,5,2,8
2,2,8,2,4
5,2,8,5,
11,9,1,10,
6,10,1,5,
3,5,1,2,
8,3,9,2,
,9,3,9,
,4,4,2,
,4,7,8,
,,10,8,
,,8,10,
,,10,9,
,,10,1,
,,5,1,
,,9,1,
,,7,5,
,,7,5,
,,10,6,
,,9,6,
