Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,54.1307,4.33023,0.52905,0.00872
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
3,8,4,6,10
11,5,4,6,4
1,11,2,1,6
1,6,8,1,8
1,8,8,1,4
1,10,10,6,4
1,4,1,6,7
8,6,1,10,5
2,9,1,7,7
11,8,4,7,11
8,8,7,10,5
3,5,9,7,10
7,10,9,7,6
4,4,8,2,7
4,10,10,2,7
9,10,10,1,9
1,11,6,1,5
1,3,8,1,5
1,3,4,4,2
1,7,5,6,8
1,10,10,6,2
7,4,5,10,4
8,8,5,2,6
4,8,10,4,6
6,2,10,6,4
3,8,11,5,7
5,5,8,3,7
9,2,9,10,4
7,1,3,7,3
2,1,9,6,3
7,1,10,10,6
3,2,4,5,5
3,2,4,5,4
7,8,6,2,8
2,10,6,10,11
10,7,8,6,7
2,8,10,7,7
5,6,11,3,4
11,6,7,4,10
6,7,7,6,10
6,9,3,2,4
5,9,7,7,1
5,1,7,5,1
4,1,9,5,1
1,1,4,7,9
1,5,2,2,2
1,5,5,2,10
9,8,5,7,10
8,1,6,1,6
9,1,3,1,2
9,1,1,1,9
7,8,1,6,5
4,5,1,3,5
4,5,4,10,7
10,1,10,11,11
7,1,10,6,4
3,1,11,9,2
7,6,2,5,2
10,6,2,6,3
4,7,8,11,3
11,7,4,5,8
10,10,3,3,2
1,8,5,10,6
1,1,5,8,6
1,1,4,4,5
3,1,3,7,6
4,7,10,7,10
10,11,10,9,4
5,6,3,11,5
7,8,3,8,3
7,8,7,10,3
6,6,10,3,2
2,1,7,5,5
4,1,5,2,7
4,1,2,10,1
2,7,4,3,1
2,5,10,9,1
4,6,7,9,2
8,6,4,8,11
2,7,4,8,3
2,1,8,4,1
1,1,8,3,1
1,1,4,3,1
1,4,2,7,6
4,4,1,6,7
9,9,1,4,9
7,8,1,10,7
11,6,4,11,1
9,6,1,4,1
9,2,1,8,1
8,9,1,8,8
9,8,3,2,8
7,11,3,2,2
1,1,9,8,1
1,1,7,9,1
1,1,2,1,1
6,1,2,1,6
1,1,3,1,10
1,2,9,10,11
1,2,9,7,4
8,4,5,3,4
7,10,4,6,6
2,8,4,3,8
6,9,2,3,4
6,5,6,2,4
5,1,8,3,5
8,1,9,3,5
2,1,10,6,2
7,5,1,5,2
6,7,1,5,8
5,1,1,4,9
8,1,2,10,10
5,1,1,10,7
8,8,1,7,5
10,9,1,7,2
3,4,4,10,
9,1,2,6,
2,1,7,7,
8,1,1,7,
,1,1,10,
,1,1,5,
,9,9,,
,5,8,,
,5,9,,
,6,3,,
,10,7,,
,7,4,,
,2,7,,
,2,5,,
,4,3,,
,9,3,,
,1,,,
,1,,,
,1,,,
,4,,,
,4,,,
,6,,,
,8,,,
,9,,,
,2,,,
,2,,,
