Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,53.62261,6.34604,0.53245,0.00937
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
8,10,2,2,1
10,6,9,6,1
11,7,6,6,1
6,4,11,11,4
10,4,2,9,5
10,5,10,1,2
6,10,1,1,4
6,9,1,1,10
9,11,1,2,4
8,2,9,6,3
8,6,9,1,3
9,7,7,1,8
9,7,8,1,6
7,4,8,6,4
6,9,4,10,9
3,11,2,1,8
6,3,2,1,5
6,6,6,1,9
1,6,1,7,4
1,10,1,6,1
1,3,1,8,1
2,4,1,8,1
2,1,1,1,3
1,1,3,1,1
1,1,9,1,1
1,4,9,10,1
2,8,4,6,2
2,1,10,10,2
9,1,8,7,5
9,1,1,2,11
2,5,1,9,10
2,4,1,9,8
8,8,5,8,8
4,6,8,3,1
11,7,4,3,1
8,8,4,10,1
7,10,9,10,2
9,7,6,1,2
5,3,7,1,10
5,2,1,1,2
1,11,1,6,3
1,7,1,10,5
1,8,4,7,6
11,8,2,8,4
2,7,6,6,10
6,11,11,9,6
3,6,1,3,3
4,4,1,2,7
2,4,1,2,3
9,9,9,1,10
3,5,8,1,2
7,6,3,1,2
5,6,11,5,3
5,10,1,2,3
3,8,1,2,4
4,4,1,3,4
4,4,2,1,5
2,7,3,1,2
1,7,8,1,8
1,1,8,9,7
1,1,7,9,8
9,1,4,8,1
9,1,1,9,1
4,1,1,6,1
4,8,1,6,9
8,3,7,11,8
6,6,7,4,4
11,5,6,9,7
7,3,4,5,8
7,6,6,2,6
10,5,2,10,4
5,2,10,10,7
3,6,10,6,4
9,4,8,5,9
2,5,1,11,10
1,9,1,3,6
1,2,1,2,7
1,7,2,9,3
3,7,11,5,2
2,6,10,7,2
1,5,1,3,10
1,4,1,3,11
1,5,1,8,5
2,6,1,4,10
10,1,1,5,7
6,1,6,2,7
7,1,6,3,6
5,11,9,9,4
7,6,9,3,2
5,7,6,5,6
5,7,1,5,1
8,2,1,6,1
7,3,1,10,1
1,8,6,10,9
1,6,8,9,3
1,8,9,7,9
6,7,9,2,4
10,1,3,11,7
10,1,3,9,7
5,1,2,9,11
4,5,2,8,10
9,2,3,6,2
9,2,1,7,4
2,1,1,10,3
9,1,1,2,6
5,1,8,4,6
9,6,11,10,5
6,6,6,2,10
2,4,6,6,10
2,4,10,3,9
3,9,10,2,7
3,3,6,9,10
7,4,1,9,6
4,4,1,8,5
4,7,1,8,10
1,6,1,5,10
1,11,1,9,2
1,1,3,7,9
8,1,8,10,
2,1,2,10,
6,7,2,8,
1,1,7,5,
1,1,9,,
1,1,8,,
4,,2,,
6,,5,,
6,,10,,
1,,3,,
1,,3,,
1,,2,,
3,,3,,
3,,3,,
10,,2,,
,,7,,
