Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,53.10266,7.91274,0.5373,0.00873
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
8,2,1,6,4
6,2,1,10,3
7,4,1,10,2
6,4,5,1,5
1,9,2,1,5
1,10,11,1,2
1,5,3,5,4
2,9,5,5,7
8,10,4,8,7
7,1,4,4,11
4,1,6,4,8
3,1,6,5,1
5,9,7,8,1
6,10,2,5,1
9,3,4,7,2
2,1,8,4,2
6,1,1,5,11
6,1,1,7,3
10,1,1,7,9
9,1,8,8,5
2,3,10,4,1
2,3,9,6,1
10,6,1,11,1
7,10,1,10,7
1,5,1,9,9
1,5,10,1,2
1,11,3,1,2
10,3,7,1,6
2,5,8,9,6
9,5,6,3,2
9,3,10,3,2
7,9,9,6,9
4,9,1,6,9
5,3,1,9,7
9,1,1,3,10
6,1,1,4,8
4,1,1,6,10
5,10,3,8,10
3,1,6,8,8
9,1,1,4,3
1,1,1,1,6
1,3,1,1,7
1,5,6,1,5
4,4,4,9,5
7,6,1,4,6
1,5,1,6,2
1,8,1,5,5
1,2,7,9,11
9,2,7,4,7
2,9,10,8,8
2,9,10,10,9
7,1,9,10,1
10,1,9,4,1
5,1,7,3,1
7,2,6,3,10
3,10,2,4,10
2,8,9,3,1
8,1,2,10,1
6,1,5,10,1
3,1,10,8,2
2,8,8,11,4
2,3,10,5,7
7,7,10,4,1
8,3,8,8,1
9,11,8,8,1
9,4,5,11,4
2,4,1,1,9
2,1,1,1,9
4,1,1,1,3
4,1,2,3,2
9,2,4,11,5
9,2,8,10,5
1,5,7,4,9
1,5,4,8,4
1,9,4,7,8
3,9,6,2,9
11,8,6,1,3
9,1,1,1,3
3,1,1,1,5
1,1,1,2,6
1,10,3,7,8
1,11,8,1,4
10,6,8,1,4
10,4,4,1,3
2,3,10,11,3
1,4,1,3,6
1,5,1,5,6
1,5,1,5,7
7,10,6,7,4
4,3,3,6,9
4,1,3,5,9
8,1,10,5,8
3,1,7,2,3
2,4,5,9,3
4,11,1,2,2
8,9,1,7,10
5,7,1,8,9
6,9,1,2,2
6,4,1,6,8
8,8,9,8,4
6,9,2,5,3
6,1,1,5,11
8,1,1,2,9
5,1,1,7,8
11,3,5,7,6
2,7,10,5,1
2,11,1,10,1
1,2,1,8,1
1,10,1,8,2
1,10,3,3,4
6,1,9,6,1
4,1,6,11,1
10,1,8,9,1
7,2,6,4,6
7,2,2,4,6
3,1,7,1,9
1,1,5,1,9
1,1,5,1,6
1,3,11,11,11
8,6,6,,7
8,11,8,,5
3,2,7,,5
9,10,2,,4
10,5,9,,10
10,3,9,,7
4,11,2,,5
,1,9,,2
,1,7,,6
,1,9,,5
,5,9,,3
,5,3,,3
,1,10,,
,1,7,,
,1,7,,
,7,6,,
,10,,,
,2,,,
,3,,,
