Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,55.40136,2.69856,0.51908,0.00784
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
11,6,8,3,1
10,6,8,2,1
9,3,9,5,1
9,5,6,10,4
8,5,2,2,2
6,1,5,9,2
11,1,11,9,3
7,1,10,1,3
6,6,3,1,5
7,10,7,1,5
10,2,9,9,8
7,9,8,9,8
7,8,11,4,3
6,10,5,1,10
2,6,1,1,8
9,7,1,1,8
1,10,1,6,11
1,8,9,10,9
1,8,5,10,5
9,3,6,7,10
3,2,4,7,7
2,7,4,5,6
7,7,3,10,2
2,10,6,10,1
8,9,4,8,1
4,1,4,2,1
1,1,11,2,7
1,1,6,4,5
1,4,10,3,2
9,3,1,5,10
11,3,1,9,6
1,9,1,5,4
1,9,2,5,8
1,8,2,4,8
1,8,8,4,5
1,9,8,3,6
2,3,7,8,6
2,5,2,11,3
8,5,10,10,10
1,10,8,7,9
1,4,8,3,11
1,3,5,4,7
6,5,7,3,10
6,8,8,3,8
7,8,4,4,7
10,7,6,10,1
1,6,6,7,1
1,3,2,10,1
1,7,7,6,2
5,3,2,1,7
6,6,3,1,4
6,10,5,1,5
10,7,6,5,3
10,11,6,4,4
2,8,4,7,10
2,10,3,5,10
4,2,2,3,2
9,2,4,6,2
5,8,9,3,1
6,8,5,1,1
6,5,4,1,1
4,5,4,1,10
8,4,3,5,2
11,4,8,5,2
9,2,5,7,3
10,5,4,4,4
4,3,9,10,9
2,4,9,9,10
11,10,5,5,8
4,10,5,2,8
7,2,11,1,4
3,1,1,1,4
4,1,1,1,3
3,1,1,4,4
6,8,1,1,8
9,10,1,1,6
9,10,5,1,2
4,5,3,6,4
4,3,1,6,3
10,10,1,9,8
4,7,1,6,4
4,7,9,2,2
3,10,2,10,9
6,5,2,5,5
10,5,9,7,9
8,7,8,6,7
2,8,8,6,5
11,3,10,8,3
8,3,2,4,10
4,7,5,4,6
5,7,4,5,10
8,6,4,7,1
6,4,1,2,1
3,8,1,9,1
6,3,1,7,3
6,7,3,6,10
7,11,11,6,11
9,3,3,9,10
11,1,3,2,3
9,1,10,11,2
9,1,3,3,9
8,3,9,10,7
5,10,2,7,1
10,7,6,7,1
4,5,3,1,1
7,5,2,1,5
7,3,7,1,5
6,2,10,9,1
6,10,2,3,1
2,10,11,3,1
7,9,1,8,3
3,7,1,4,1
,10,1,5,1
,4,1,1,1
,6,1,1,6
,2,11,1,6
,2,7,2,9
,9,9,9,5
,1,7,9,8
,1,7,1,8
,1,10,1,2
,,,1,6
,,,10,4
,,,6,5
,,,5,2
,,,2,3
,,,6,
,,,6,
,,,7,
,,,8,
,,,8,
