Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
96,53.96118,5.47941,0.53046,0.00865
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
1,10,6,8,7
1,10,7,1,4
1,2,2,1,4
8,3,2,1,7
2,3,7,2,7
6,8,7,2,5
3,10,1,8,10
2,10,1,11,3
11,1,1,10,2
10,1,4,7,2
6,1,1,7,10
2,4,1,6,5
7,6,1,4,8
11,2,9,3,8
4,6,3,10,6
2,3,5,7,8
9,10,9,1,3
9,2,3,1,5
2,2,3,1,2
2,7,4,11,2
10,7,2,6,3
2,9,4,5,5
4,7,6,9,4
9,7,5,8,5
9,5,9,11,5
6,8,10,6,10
1,9,1,6,4
1,6,1,8,2
1,7,1,8,9
2,5,1,4,3
5,5,1,2,3
5,6,4,3,4
11,6,10,1,4
3,11,6,1,2
1,5,8,1,5
1,5,7,1,5
1,8,10,7,3
9,8,10,5,6
6,11,5,8,1
4,7,7,11,1
10,4,8,5,1
8,1,10,10,10
1,1,9,10,10
1,1,1,2,6
1,3,1,4,10
10,1,1,10,2
10,1,1,1,3
3,1,1,1,4
9,2,3,1,4
2,8,8,5,6
3,4,7,4,6
6,1,2,4,9
10,1,10,8,2
11,1,10,1,5
1,8,8,1,10
1,6,8,1,10
1,5,4,6,1
6,1,6,9,1
6,1,10,4,1
11,1,4,2,1
10,1,8,2,1
9,1,3,4,10
3,4,3,1,10
7,6,7,1,8
4,10,6,1,8
8,4,10,2,10
3,4,2,2,10
4,1,3,8,9
2,1,1,5,3
11,1,1,6,2
7,7,1,7,5
5,10,3,4,4
7,7,4,6,3
3,9,4,3,3
7,2,5,3,2
7,10,6,9,2
9,1,10,4,7
2,1,5,6,5
2,1,6,9,5
9,3,4,3,8
9,3,5,9,7
11,10,8,10,2
6,10,11,6,6
10,6,1,8,7
10,6,1,1,10
1,9,1,1,3
1,8,7,1,2
1,5,1,11,2
8,5,1,7,10
2,7,1,7,6
6,11,9,8,10
6,8,9,5,11
3,9,8,10,9
8,9,2,9,10
8,1,2,8,2
1,1,5,5,3
1,1,1,3,6
1,9,1,3,8
10,1,1,9,11
10,1,1,9,9
1,1,1,5,10
1,9,8,4,8
1,9,8,4,8
2,4,5,8,5
8,6,2,3,1
10,4,10,10,1
9,4,2,11,1
8,7,5,7,3
3,7,6,8,2
11,6,8,2,7
6,5,8,9,8
9,10,2,1,8
9,2,10,1,1
2,6,3,1,1
8,2,9,6,1
7,10,6,6,8
7,9,8,5,1
10,4,7,8,1
10,4,9,10,1
6,9,5,3,3
11,2,11,2,2
4,2,8,11,3
,8,2,9,9
,10,,6,7
,5,,,6
,6,,,
,3,,,
,3,,,
,6,,,
,1,,,
,1,,,
,1,,,
,4,,,
