Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
98,99.96783,0.70821,0.44997,0.00752
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
5,2,6,10,9
7,2,6,3,9
6,10,8,2,1
4,7,6,4,1
2,6,10,3,1
7,2,2,7,7
6,11,10,4,6
7,7,6,2,3
3,3,2,6,4
3,3,8,11,7
10,7,5,4,11
10,9,2,6,8
2,4,2,10,8
6,4,3,10,4
8,5,10,9,4
9,4,5,10,8
9,8,2,2,2
8,4,11,4,2
10,9,6,5,1
6,7,6,1,1
10,11,9,1,1
4,6,8,1,4
2,10,5,7,4
10,5,2,6,9
8,6,11,7,1
4,1,6,9,1
6,1,4,4,1
3,1,10,2,3
1,9,9,8,1
1,5,2,3,1
1,2,4,10,1
7,4,5,5,4
9,10,10,3,2
2,2,10,7,4
6,8,7,6,4
2,8,6,2,3
3,3,5,3,3
3,9,6,10,9
5,5,9,8,9
4,10,11,3,3
5,8,3,7,9
1,2,4,3,9
1,2,6,10,3
1,5,4,7,3
9,2,5,8,9
1,6,6,9,7
1,4,4,9,9
1,2,2,5,11
8,6,11,4,2
9,3,7,3,5
11,2,5,7,10
3,2,5,10,7
5,7,3,4,5
7,4,9,2,3
8,11,10,7,3
2,10,10,8,10
2,2,2,6,3
4,8,6,2,4
2,10,4,2,2
5,4,7,8,5
8,7,7,9,10
6,8,3,2,3
5,4,10,10,6
3,2,10,10,10
10,5,5,8,2
10,2,8,5,7
6,8,4,2,8
9,3,7,4,10
3,11,10,5,5
6,10,4,10,11
9,4,4,9,5
3,2,5,8,2
8,8,4,6,6
7,4,7,9,10
2,3,4,5,8
4,5,3,10,4
2,7,11,1,5
5,9,10,1,7
4,5,8,1,10
8,6,4,1,7
2,4,7,1,5
6,7,6,6,2
2,4,5,9,6
4,3,9,3,2
6,9,8,4,4
3,9,10,8,1
8,7,2,3,1
6,2,8,6,1
2,9,5,6,9
10,,4,10,4
3,,7,10,4
2,,8,3,7
9,,4,9,1
5,,9,2,1
11,,6,8,1
8,,4,11,5
6,,,,2
2,,,,2
10,,,,7
9,,,,5
,,,,7
,,,,7
,,,,9
,,,,9
,,,,6
,,,,10
,,,,6
,,,,6
,,,,10
,,,,10
