Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
84,99.94524,0.69636,0.45,0.00891
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
6,5,7,5,5
7,2,7,2,6
4,1,5,10,9
11,1,11,7,6
9,1,10,6,10
5,3,6,10,1
4,2,2,7,1
2,10,3,10,1
6,5,5,6,10
8,7,3,11,3
6,6,2,6,7
3,6,3,4,4
7,8,2,8,8
5,4,7,9,5
2,5,8,9,9
4,3,10,3,11
1,9,7,4,2
1,11,10,5,6
1,8,9,6,10
11,5,9,3,3
10,7,3,6,2
10,7,4,10,5
7,9,8,7,9
3,2,8,3,4
10,10,10,10,2
4,6,10,4,6
10,8,9,8,8
2,6,3,3,10
2,7,8,3,6
6,7,2,5,11
11,3,9,9,2
9,6,11,9,10
10,8,10,7,4
9,5,9,1,6
9,5,5,1,6
2,4,1,1,4
9,4,1,7,7
8,9,1,10,2
4,7,10,9,2
4,3,3,9,10
6,10,9,5,3
10,2,7,5,4
3,4,4,6,9
9,4,3,8,8
8,6,10,3,6
1,3,2,6,5
1,7,8,4,4
1,7,9,9,3
2,3,2,6,5
7,4,8,3,5
8,4,10,1,2
5,10,7,1,11
8,8,10,1,4
3,7,11,5,7
3,7,4,4,9
4,8,6,10,11
4,10,9,10,7
10,2,6,3,3
2,6,9,7,6
3,2,9,3,9
2,7,11,10,9
8,3,10,8,7
9,2,3,9,1
9,9,4,7,1
3,11,8,3,1
8,7,2,10,6
5,3,10,3,8
4,4,10,3,5
7,4,5,5,4
3,3,4,4,8
2,8,6,4,8
5,4,10,10,11
4,10,11,3,7
4,2,6,2,5
2,9,9,3,5
3,7,9,5,8
10,7,6,5,10
6,10,10,2,7
2,2,7,7,7
5,8,6,4,8
4,8,2,9,2
7,9,1,9,2
2,3,1,5,8
10,4,1,7,4
3,7,7,7,5
9,8,6,8,8
9,9,2,7,9
6,1,10,4,2
2,1,9,10,11
6,1,3,8,9
5,5,7,6,8
4,10,7,10,10
4,4,9,7,10
2,4,8,,3
8,8,8,,10
9,,6,,2
6,,4,,4
10,,11,,10
3,,,,5
9,,,,2
2,,,,
