Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
91,99.97983,0.69943,0.45006,0.00756
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
5,9,5,2,7
7,8,7,4,2
2,3,2,10,10
3,4,7,1,3
10,10,3,1,4
8,9,8,1,7
9,3,10,6,5
7,1,10,3,4
10,1,5,9,9
3,1,11,7,5
4,4,9,10,8
11,9,8,6,4
5,9,10,6,2
2,7,10,2,3
4,3,9,8,9
8,6,6,6,6
5,2,5,10,4
10,3,3,2,10
10,8,9,7,1
8,4,9,1,1
6,10,4,1,1
2,8,8,1,5
3,1,5,9,7
8,1,1,2,10
9,1,1,3,4
7,2,1,6,7
7,6,9,6,3
6,6,7,10,8
5,2,3,10,9
11,3,4,7,5
10,9,3,7,5
2,2,2,3,2
4,2,9,10,8
4,10,6,10,2
11,3,2,1,2
5,7,7,1,5
8,6,6,1,5
5,8,10,5,9
3,5,2,7,3
8,7,4,4,6
8,2,7,5,9
7,5,3,4,6
7,6,11,4,4
6,7,2,7,11
10,10,3,5,8
4,7,8,3,9
7,10,9,7,2
5,7,1,10,1
9,8,1,4,1
6,3,1,9,1
5,9,5,7,7
11,7,4,6,7
7,7,3,3,4
7,3,7,3,8
10,4,1,5,7
8,4,1,5,8
7,3,1,6,9
2,3,8,10,2
9,8,3,10,5
2,8,3,3,5
10,2,10,3,8
3,7,10,9,9
6,4,5,9,10
4,4,9,6,5
10,5,8,8,8
4,5,5,8,9
9,10,6,4,9
2,9,9,2,3
10,5,2,7,4
7,6,2,7,7
7,5,7,8,5
8,6,9,6,3
2,2,5,5,8
1,6,3,5,8
1,7,9,2,11
1,4,6,2,2
9,9,3,6,8
2,9,8,11,3
11,3,2,9,7
7,5,10,1,8
10,8,10,1,9
2,7,9,1,5
3,7,4,10,8
9,4,5,8,9
2,3,10,11,3
10,7,8,9,5
3,9,8,8,2
4,9,10,10,4
4,7,5,11,10
10,8,11,10,2
7,7,2,2,8
8,5,6,9,8
5,8,9,10,11
10,4,9,3,6
8,7,5,6,3
10,5,1,7,3
2,6,1,11,4
11,6,1,9,10
,9,7,9,10
,5,9,5,4
,3,,4,6
,8,,9,
,10,,11,
,9,,8,
,3,,4,
,2,,7,
,10,,11,
,5,,10,
,2,,,
