Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
87,99.96503,0.70131,0.4498,0.0076
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
5,5,2,10,3
5,6,5,8,3
10,10,6,8,5
2,4,4,7,11
6,6,3,4,7
10,5,3,5,6
8,4,2,5,5
5,4,6,8,5
2,2,6,7,9
9,10,3,11,10
3,7,2,6,10
2,5,6,5,7
3,2,8,7,6
9,2,9,6,7
7,4,10,7,3
4,11,6,5,5
10,6,6,3,2
6,10,8,4,2
7,3,8,9,3
3,6,5,6,8
3,6,2,5,10
8,10,7,9,10
1,2,6,9,8
1,6,8,6,4
1,7,3,2,5
8,2,3,5,9
7,6,5,10,9
5,9,8,6,10
5,8,9,11,7
10,2,5,10,8
3,2,7,9,3
9,6,5,2,7
4,8,11,4,8
8,10,2,6,3
11,3,9,3,6
9,2,8,3,5
7,6,7,10,5
7,10,3,2,4
8,5,6,4,5
4,6,5,6,5
2,7,7,8,7
3,10,11,2,9
9,10,4,3,4
2,3,9,3,7
4,5,5,6,4
10,7,5,7,2
10,8,3,5,11
8,9,3,6,10
7,11,10,7,7
10,8,5,10,7
3,7,8,9,5
3,3,10,3,3
9,8,3,4,2
2,3,8,9,6
11,4,2,9,8
5,8,2,5,8
4,8,4,6,7
2,4,2,10,10
8,4,9,6,9
1,6,3,3,3
1,9,9,7,5
1,7,7,3,4
7,1,2,3,6
2,1,5,11,1
6,1,5,4,1
2,7,6,5,1
2,8,4,1,3
9,10,10,1,5
3,3,5,1,9
2,3,8,4,3
5,2,3,4,5
5,8,6,9,6
10,3,2,8,4
11,6,4,2,6
6,7,10,3,11
10,5,3,8,4
2,8,3,9,7
9,7,1,9,9
9,2,1,8,4
4,8,1,11,4
6,8,8,3,6
8,10,5,3,9
6,6,7,2,9
3,3,3,8,5
11,8,9,8,3
2,6,6,4,6
6,3,6,5,3
5,2,3,2,6
8,2,2,9,4
7,8,10,9,10
2,2,2,10,10
8,1,2,9,3
2,1,6,7,10
6,1,6,10,1
7,8,,4,1
8,3,,2,1
7,,,,10
4,,,,
11,,,,
4,,,,
6,,,,
