Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
91,99.9556,0.69352,0.44974,0.00776
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
6,6,2,2,9
8,7,11,3,10
10,7,5,4,9
11,5,5,9,4
8,4,8,7,5
4,3,8,2,9
2,8,2,7,11
10,10,5,4,3
11,6,11,5,4
8,8,7,8,8
2,9,6,3,5
3,3,3,9,2
4,6,1,2,5
6,2,1,8,7
10,4,1,5,6
7,7,10,3,2
4,5,2,6,4
9,5,2,9,6
10,9,4,3,11
10,11,8,8,9
5,9,10,5,4
3,10,2,5,7
3,8,4,4,10
1,10,8,9,8
1,9,3,5,4
1,6,6,6,10
6,10,4,4,8
2,9,8,9,4
5,2,8,4,3
9,8,7,6,6
5,5,4,1,3
10,2,7,1,8
8,6,2,1,8
7,7,7,6,4
7,10,7,7,8
4,10,10,7,1
6,6,10,9,1
8,3,8,7,1
10,6,6,6,7
5,10,9,9,4
7,2,9,2,3
10,2,2,2,5
5,5,10,7,8
7,6,10,4,7
6,2,2,4,4
7,8,8,9,2
4,3,2,5,4
4,6,8,5,5
3,7,9,7,9
8,8,7,8,2
7,6,4,5,10
9,4,1,9,7
8,2,1,6,7
3,5,1,6,10
4,4,10,4,10
2,6,4,6,9
4,10,3,7,6
9,5,9,8,10
9,6,5,8,10
8,1,8,9,9
6,1,6,7,9
5,1,5,7,4
10,8,11,6,4
7,5,3,9,6
11,6,5,9,7
5,7,3,6,11
3,9,8,5,2
3,10,2,7,6
7,5,6,6,8
5,9,10,4,10
8,9,6,5,1
6,2,3,8,1
2,2,2,9,1
4,7,7,8,7
9,6,3,10,7
10,1,6,6,6
10,1,5,9,4
11,1,5,8,5
6,5,6,7,2
8,10,6,4,3
10,10,2,2,2
3,9,5,11,11
10,2,7,6,6
8,9,10,5,10
4,9,3,5,9
11,5,5,6,1
3,6,9,10,1
6,6,4,9,1
5,9,6,11,2
10,1,7,4,11
6,1,6,6,
6,1,5,1,
4,6,4,1,
7,5,7,1,
11,9,6,,
10,4,3,,
2,9,7,,
8,9,7,,
10,8,10,,
7,,2,,
1,,2,,
1,,8,,
1,,,,
4,,,,
10,,,,
4,,,,
