Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
97,99.97915,0.70287,0.44988,0.00773
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
6,10,3,5,10
2,9,2,7,5
2,3,11,4,4
6,3,5,3,5
3,9,2,8,6
2,9,7,7,7
8,4,8,8,10
8,10,10,6,6
11,3,4,8,9
4,6,3,7,8
2,9,6,9,4
3,10,9,3,2
5,2,3,11,9
10,10,4,4,4
4,8,4,2,4
3,10,6,5,6
8,6,11,10,7
9,2,9,3,7
9,3,7,7,8
11,3,10,4,10
6,9,10,6,7
1,2,9,5,1
1,11,8,7,1
1,7,10,1,1
5,7,11,1,10
3,8,3,1,2
10,2,8,2,2
11,5,6,8,8
9,6,7,9,5
9,11,2,5,9
3,5,9,5,9
10,8,4,3,7
10,9,2,8,5
6,9,5,7,6
8,6,10,10,5
5,6,5,4,3
9,7,11,4,3
8,2,5,8,5
3,5,10,7,10
6,4,6,6,7
8,10,6,2,4
11,6,3,4,4
10,9,1,5,2
6,10,1,9,6
2,3,1,5,2
11,5,9,5,4
9,10,3,7,2
6,10,4,2,2
5,4,4,10,8
1,3,9,7,4
1,2,6,8,8
1,4,9,10,10
9,6,6,5,3
1,7,9,11,8
1,9,10,7,1
1,9,3,3,1
7,6,5,8,1
11,6,7,7,3
9,3,8,4,8
7,7,5,2,10
5,7,2,7,10
6,2,5,5,9
2,3,10,10,4
7,8,10,7,8
7,1,3,9,10
10,1,5,5,7
11,1,3,10,7
10,4,10,10,5
9,5,9,8,3
2,8,3,3,8
2,3,4,10,5
6,4,8,7,5
5,5,3,7,9
3,10,3,6,7
2,1,2,6,6
9,1,2,7,3
6,1,4,3,7
8,11,9,6,5
4,7,6,5,8
5,3,3,3,8
10,5,10,7,7
7,6,8,7,9
9,3,8,5,3
2,9,11,8,10
8,9,4,5,9
5,6,,4,9
8,7,,6,2
3,2,,7,4
10,2,,7,9
5,4,,4,6
6,5,,3,5
6,10,,2,8
3,8,,2,8
8,4,,1,
10,,,1,
,,,1,
,,,8,
,,,4,
,,,4,
