Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
78,99.99193,0.70043,0.45004,0.00778
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
7,3,4,10,10
9,3,8,5,5
7,2,4,5,4
9,2,1,11,4
4,3,1,6,5
4,6,1,5,1
1,10,6,5,1
1,6,6,6,1
1,2,3,10,9
2,11,5,5,5
10,3,4,8,11
6,3,4,11,8
3,7,2,4,5
10,3,10,3,10
4,6,4,2,3
2,10,7,4,3
4,10,6,9,5
5,6,2,9,9
5,10,4,5,7
6,9,9,8,7
4,3,11,4,3
3,5,5,7,5
5,2,2,8,6
4,4,7,6,9
6,2,10,7,9
1,7,3,5,8
1,11,6,11,4
1,6,3,9,4
4,2,9,7,1
6,8,5,9,1
9,3,8,5,1
8,10,2,6,8
2,4,7,9,5
4,8,10,8,5
9,2,10,9,7
7,8,3,4,2
3,3,5,7,4
5,9,2,3,9
10,5,6,5,2
5,5,7,8,4
8,10,10,10,2
2,4,10,4,6
7,9,2,10,9
3,9,9,2,1
8,3,7,1,1
8,10,7,1,1
6,10,3,1,4
5,3,3,4,11
4,7,9,5,6
7,5,10,10,4
3,5,3,4,1
11,11,9,4,1
6,10,10,9,1
5,4,5,9,5
4,9,2,5,1
3,10,8,10,1
7,2,6,3,1
7,4,3,9,1
6,8,7,10,5
8,6,2,10,6
2,9,10,3,2
9,5,6,9,3
3,4,5,8,10
9,3,10,8,7
4,9,11,5,2
9,7,10,7,8
8,3,7,4,5
2,10,6,2,4
7,7,2,9,3
9,9,4,8,4
8,8,9,10,8
2,10,3,4,8
5,2,10,3,5
5,7,3,8,9
10,6,3,7,3
7,9,7,3,10
5,1,7,4,5
3,1,4,6,6
3,1,3,8,2
5,2,4,9,11
5,3,5,6,10
2,7,5,10,5
6,10,11,9,10
10,8,7,9,10
11,9,4,6,7
2,4,9,2,9
8,10,8,7,5
6,6,6,4,10
4,4,3,2,3
4,3,1,6,2
5,1,1,7,2
6,1,1,11,5
10,1,7,7,3
6,7,3,3,7
3,7,8,,7
3,11,8,,5
8,,,,5
5,,,,3
,,,,7
,,,,2
,,,,2
,,,,4
,,,,7
,,,,7
,,,,6
,,,,3
,,,,4
,,,,7
