Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,99.96606,0.70153,0.44994,0.00865
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
4,2,5,2,10
9,6,2,5,7
8,2,10,9,10
2,8,7,10,10
4,6,3,11,4
6,3,5,8,9
7,8,7,4,10
11,7,9,9,10
3,4,5,8,7
10,3,4,4,8
10,11,2,8,7
3,8,2,3,5
2,7,4,10,11
9,5,5,6,3
4,4,7,6,2
10,2,8,10,3
6,6,6,10,3
7,6,6,2,10
9,2,10,11,9
6,11,11,9,3
10,5,6,10,9
10,2,6,5,2
7,10,9,2,1
5,9,9,2,1
8,9,3,10,1
6,3,8,10,4
5,3,2,8,10
8,4,3,8,9
7,1,6,7,9
8,1,10,5,10
4,1,7,2,6
3,7,2,8,4
8,6,7,6,5
2,10,8,4,5
7,6,6,7,6
4,3,3,8,9
9,10,1,8,11
11,10,1,2,5
8,5,1,4,6
7,6,11,6,2
8,6,8,10,11
1,2,9,10,9
1,7,9,3,7
1,9,1,9,10
8,1,1,2,9
2,1,1,5,10
6,1,3,2,2
9,8,2,3,2
7,2,7,5,9
3,4,3,9,8
10,5,8,10,8
9,10,11,7,9
2,9,5,6,2
8,7,8,5,8
10,4,2,8,9
10,8,5,9,8
3,5,3,7,1
4,3,6,5,1
2,10,7,8,1
4,8,2,7,7
2,3,10,7,10
5,1,5,10,10
4,1,6,6,9
8,1,11,4,7
2,5,2,6,7
7,7,10,5,6
7,7,9,5,6
10,8,7,2,7
4,4,3,2,4
9,6,4,9,10
5,9,3,10,6
9,3,9,5,4
2,9,9,9,11
4,8,4,8,8
9,8,10,5,6
5,6,9,2,3
5,3,4,6,8
3,6,9,9,5
6,3,3,5,5
5,8,2,8,8
3,3,6,10,2
3,11,3,7,1
10,9,1,8,1
5,9,1,10,1
6,10,1,1,2
9,4,5,1,10
9,5,9,1,10
2,8,2,4,2
4,7,6,4,3
7,3,6,8,2
3,10,9,4,10
4,2,10,8,10
4,4,10,5,5
3,11,8,4,3
8,10,7,7,6
,3,3,3,9
,8,11,5,5
,10,5,4,2
,3,,3,
,3,,4,
,,,6,
,,,3,
,,,3,
