Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
95,99.99534,0.70217,0.45,0.00824
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
9,6,5,2,5
9,9,4,8,11
2,2,10,4,10
7,7,11,10,2
7,7,9,7,4
11,4,4,6,10
5,1,4,2,3
3,1,9,1,5
4,1,2,1,11
8,8,2,1,9
2,10,10,8,5
5,4,6,6,3
7,4,6,6,2
5,9,4,3,7
4,8,9,3,10
2,8,9,9,9
10,3,2,7,2
4,3,9,5,8
7,9,4,9,8
2,7,4,3,5
11,8,5,6,11
5,10,7,10,9
9,3,3,9,9
3,2,11,6,4
5,2,5,2,2
8,6,5,10,8
8,5,3,8,3
4,4,4,9,11
4,6,8,5,8
7,8,8,3,10
3,4,2,6,9
6,8,6,8,4
5,7,6,5,10
6,9,3,3,6
9,8,5,2,11
11,2,5,5,3
6,7,2,5,5
6,6,5,8,9
9,4,10,10,8
6,4,7,5,8
8,6,2,2,3
11,7,10,9,9
1,5,3,5,6
1,7,3,6,1
1,4,2,4,1
7,6,4,2,1
5,3,2,10,4
4,9,4,3,10
4,4,3,4,3
2,9,10,7,8
10,7,5,2,1
2,10,8,2,1
2,3,7,7,1
8,8,3,5,4
4,4,5,10,9
8,9,2,9,7
3,10,3,8,4
3,5,4,1,4
2,9,10,1,2
2,6,11,1,6
7,2,4,8,3
11,7,8,5,5
10,2,5,5,3
3,6,1,4,7
8,10,1,5,9
4,5,1,6,9
11,6,9,1,8
8,3,2,1,8
7,1,10,1,4
6,1,6,4,5
6,1,4,8,5
7,1,8,7,4
9,1,7,5,6
3,5,8,8,4
11,1,5,10,5
8,1,2,7,3
8,1,4,10,7
5,8,8,4,10
9,4,9,8,1
7,5,3,2,1
10,5,2,2,1
3,3,11,5,10
10,8,2,9,6
7,7,6,2,4
10,5,10,5,9
8,9,2,3,2
5,3,8,7,10
4,2,5,7,9
8,2,8,5,6
7,4,5,3,7
7,7,9,8,11
,11,10,8,6
,7,6,4,10
,5,4,2,
,,3,3,
,,,3,
,,,10,
,,,8,
,,,9,
